project,repo,tag,digest,size
chartsimage,git,2.43.0-debian-11-r5,sha256:864ed373f8f487dba6bec443f0ccbacf080d2d5c6d325bab8eb763dbfda73446,79.68MB
chartsimage,tomcat,10.1.17-debian-11-r0,sha256:4315b74a859ae7a012fb58cb38672e95dcd3739250505d708799c6a17da51d4f,259.88MB
chartsimage,jmx-exporter,0.20.0-debian-11-r5,sha256:ba124df3159103dc6d22ad3a576b999803b5a17a7cd1bb25db303359c3562cea,229.85MB
chartsimage,jmx-exporter,0.20.0-debian-11-r2,sha256:33c2b89ad3030a070028f597a625147741444618fe8f11ac67081794dd406132,229.82MB
chartsimage,mariadb,11.2.2-debian-11-r1,sha256:fa118523df8bb59a116133224723a7c5c36e57b3d019667b098767ba99ecb97d,111.98MB
chartsimage,mysqld-exporter,0.15.1-debian-11-r0,sha256:ae831683129173de79820106326217783cf2174d39774a55a0f2e359c9d23a6a,35.84MB
chartsimage,mysql,8.0.35-debian-11-r2,sha256:3811fe36953f32b59e7cc0ec56563f5ebb8fbc209af382176d8f6118acac43d5,209.61MB
chartsimage,redis-exporter,1.43.0-debian-11-r4,sha256:09d052f28d17058f4ad571c17151053c14da387b3954d752368f91872e55e321,38.69MB
chartsimage,redis-exporter,1.55.0-debian-11-r3,sha256:30ddd8de420478a495ce8c8f3c54b50222633d1de2ad89e83136a1305719ae07,35.22MB
chartsimage,redis-sentinel,6.2.7-debian-11-r12,sha256:27d40e0709c3494249a2a61209a316acd607d96adc65edfffe597d6501019ade,38.64MB
chartsimage,redis-sentinel,7.2.3-debian-11-r2,sha256:7a3cf872e661b99032e653d46df260153606d1ca846d9ba3ae73295f368915d5,35.34MB
chartsimage,redis,6.2.7-debian-11-r11,sha256:d94907b0b6bf134fdc891c95f4d789cf4c5d9eaaf0a5a2003c19a6927a71a5d2,39.59MB
chartsimage,redis,7.2.3-debian-11-r2,sha256:f1bf7c18854f04f3b4c5a9e22d539533229d74f5e64f85f1d61641f2fd6c5945,36.43MB
chartsimage,mongodb-exporter,0.40.0-debian-11-r2,sha256:d3ad6c23372529d248600979c1a4353a9e91b93695df796b43d2beffcf5279cd,37.18MB
chartsimage,os-shell,11-debian-11-r96,sha256:a4ac89e3946c31196f09dc9bbba564443651f1b8aa8d574b9723e90ebf593b4f,40.81MB
chartsimage,os-shell,11-debian-11-r95,sha256:07f918122b89ae0f9a1648e3cbe0390255a923cdd15a9c8df6a79295435ec96e,40.75MB
chartsimage,os-shell,11-debian-11-r94,sha256:9a07edd0648e1ea17a6558cc55e49f407df613f9e3a4986756b9adbca8cde2fe,40.75MB
chartsimage,os-shell,11-debian-11-r92,sha256:986f938c2638c80489af881f7722b7295be799d5bab4a914ce7a304902801501,40.78MB
chartsimage,os-shell,11-debian-11-r93,sha256:cbbec5b7497e2eb33268d6f79f09ae4e0e747256cf03e93a32befeab8b0fc3c3,40.75MB
chartsimage,kubectl,1.29.1-debian-11-r1,sha256:4384f464b77153b5dac7ffc8c1f49a416753cc3665d085d1ae77bb4a6c860f18,77.35MB
