project,repo,tag,digest,size
bookinfo,examples-bookinfo-ratings-v-delayed,b575cc90,sha256:28aa9d347bd524d7d1d9dd45a960d0203bd1e38fbe56935755213646fe8d2195,77.23MB
bookinfo,examples-bookinfo-ratings-v-delayed,4aa952ae,sha256:28aa9d347bd524d7d1d9dd45a960d0203bd1e38fbe56935755213646fe8d2195,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,b2efa1b5,sha256:f92fcc1d91b366d6908e75c5576a4ba556c43dfe21444a2c0f1af22989ecd334,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,5e3f9324,sha256:f92fcc1d91b366d6908e75c5576a4ba556c43dfe21444a2c0f1af22989ecd334,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,5d41f755,sha256:f92fcc1d91b366d6908e75c5576a4ba556c43dfe21444a2c0f1af22989ecd334,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,b4c1290a,sha256:f92fcc1d91b366d6908e75c5576a4ba556c43dfe21444a2c0f1af22989ecd334,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,ac3a2e6d,sha256:f92fcc1d91b366d6908e75c5576a4ba556c43dfe21444a2c0f1af22989ecd334,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,b575cc90,sha256:7c58680c1152f41372d3ce6837b8dd6a4fe05db0fe813654ec4e3d960a34dc9e,77.23MB
bookinfo,examples-bookinfo-ratings-v-faulty,4aa952ae,sha256:7c58680c1152f41372d3ce6837b8dd6a4fe05db0fe813654ec4e3d960a34dc9e,77.23MB
bookinfo,examples-bookinfo-ratings-v2,b2efa1b5,sha256:ce723bd2cb0c153d2f45e7649649a2d620fe3aea958eefad39e270399b4bb8b1,77.23MB
bookinfo,examples-bookinfo-ratings-v2,5e3f9324,sha256:ce723bd2cb0c153d2f45e7649649a2d620fe3aea958eefad39e270399b4bb8b1,77.23MB
bookinfo,examples-bookinfo-ratings-v2,5d41f755,sha256:ce723bd2cb0c153d2f45e7649649a2d620fe3aea958eefad39e270399b4bb8b1,77.23MB
bookinfo,examples-bookinfo-ratings-v2,b4c1290a,sha256:ce723bd2cb0c153d2f45e7649649a2d620fe3aea958eefad39e270399b4bb8b1,77.23MB
bookinfo,examples-bookinfo-ratings-v2,ac3a2e6d,sha256:ce723bd2cb0c153d2f45e7649649a2d620fe3aea958eefad39e270399b4bb8b1,77.23MB
bookinfo,examples-bookinfo-ratings-v2,b575cc90,sha256:494993790893a85a017a82bf04fb6eaca2e55965ee9ba18492bf2c5cf970ac07,77.23MB
bookinfo,examples-bookinfo-ratings-v2,4aa952ae,sha256:494993790893a85a017a82bf04fb6eaca2e55965ee9ba18492bf2c5cf970ac07,77.23MB
bookinfo,examples-bookinfo-ratings-v1,b2efa1b5,sha256:0a2a1739e277db7b4fd84dad2ed9fa3e055fe49483c6eef4766d585a4dcfac1c,77.23MB
bookinfo,examples-bookinfo-ratings-v1,5e3f9324,sha256:0a2a1739e277db7b4fd84dad2ed9fa3e055fe49483c6eef4766d585a4dcfac1c,77.23MB
bookinfo,examples-bookinfo-ratings-v1,5d41f755,sha256:0a2a1739e277db7b4fd84dad2ed9fa3e055fe49483c6eef4766d585a4dcfac1c,77.23MB
bookinfo,examples-bookinfo-ratings-v1,b4c1290a,sha256:0a2a1739e277db7b4fd84dad2ed9fa3e055fe49483c6eef4766d585a4dcfac1c,77.23MB
bookinfo,examples-bookinfo-ratings-v1,ac3a2e6d,sha256:0a2a1739e277db7b4fd84dad2ed9fa3e055fe49483c6eef4766d585a4dcfac1c,77.23MB
bookinfo,examples-bookinfo-ratings-v1,b575cc90,sha256:0b13865942ad62eaa74efaf91a3abe13610f6f52d621f438d1031c30e1009344,77.23MB
bookinfo,examples-bookinfo-ratings-v1,4aa952ae,sha256:0b13865942ad62eaa74efaf91a3abe13610f6f52d621f438d1031c30e1009344,77.23MB
bookinfo,examples-bookinfo-reviews-v3,b2efa1b5,sha256:6f5dbcc998e01ee93260616a7fc670c3d2909b40b716d6e89386e2ef4f4aba0a,130.39MB
bookinfo,examples-bookinfo-reviews-v3,5e3f9324,sha256:6f5dbcc998e01ee93260616a7fc670c3d2909b40b716d6e89386e2ef4f4aba0a,130.39MB
bookinfo,examples-bookinfo-reviews-v3,5d41f755,sha256:6f5dbcc998e01ee93260616a7fc670c3d2909b40b716d6e89386e2ef4f4aba0a,130.39MB
bookinfo,examples-bookinfo-reviews-v3,b4c1290a,sha256:6f5dbcc998e01ee93260616a7fc670c3d2909b40b716d6e89386e2ef4f4aba0a,130.39MB
bookinfo,examples-bookinfo-reviews-v3,ac3a2e6d,sha256:6f5dbcc998e01ee93260616a7fc670c3d2909b40b716d6e89386e2ef4f4aba0a,130.39MB
bookinfo,examples-bookinfo-reviews-v3,b575cc90,sha256:b523aaf0ea7b95093afa6cbfc376074355d1a63f0672ecdb5130d753ceeae8ee,130.39MB
bookinfo,examples-bookinfo-reviews-v3,4aa952ae,sha256:b523aaf0ea7b95093afa6cbfc376074355d1a63f0672ecdb5130d753ceeae8ee,130.39MB
bookinfo,examples-bookinfo-reviews-v2,b2efa1b5,sha256:fcdcfc2629bf6b7ecf10fd17ce8b378c38753bfd79deea309662b65d0f4164c4,130.39MB
bookinfo,examples-bookinfo-reviews-v2,5e3f9324,sha256:fcdcfc2629bf6b7ecf10fd17ce8b378c38753bfd79deea309662b65d0f4164c4,130.39MB
bookinfo,examples-bookinfo-reviews-v2,5d41f755,sha256:fcdcfc2629bf6b7ecf10fd17ce8b378c38753bfd79deea309662b65d0f4164c4,130.39MB
bookinfo,examples-bookinfo-reviews-v2,b4c1290a,sha256:fcdcfc2629bf6b7ecf10fd17ce8b378c38753bfd79deea309662b65d0f4164c4,130.39MB
bookinfo,examples-bookinfo-reviews-v2,ac3a2e6d,sha256:fcdcfc2629bf6b7ecf10fd17ce8b378c38753bfd79deea309662b65d0f4164c4,130.39MB
bookinfo,examples-bookinfo-reviews-v2,b575cc90,sha256:54152359adf790bd6c23d279813f6e097e52f386d687caa87033f49d892b1eff,130.39MB
bookinfo,examples-bookinfo-reviews-v2,4aa952ae,sha256:54152359adf790bd6c23d279813f6e097e52f386d687caa87033f49d892b1eff,130.39MB
bookinfo,examples-bookinfo-reviews-v1,b2efa1b5,sha256:a54a89d89ac5206427a8112382a93e8f9d0d844e47e8441b0618bcfc60ccd22e,130.39MB
bookinfo,examples-bookinfo-reviews-v1,5e3f9324,sha256:a54a89d89ac5206427a8112382a93e8f9d0d844e47e8441b0618bcfc60ccd22e,130.39MB
bookinfo,examples-bookinfo-reviews-v1,5d41f755,sha256:a54a89d89ac5206427a8112382a93e8f9d0d844e47e8441b0618bcfc60ccd22e,130.39MB
bookinfo,examples-bookinfo-reviews-v1,b4c1290a,sha256:a54a89d89ac5206427a8112382a93e8f9d0d844e47e8441b0618bcfc60ccd22e,130.39MB
bookinfo,examples-bookinfo-reviews-v1,ac3a2e6d,sha256:a54a89d89ac5206427a8112382a93e8f9d0d844e47e8441b0618bcfc60ccd22e,130.39MB
bookinfo,examples-bookinfo-reviews-v1,b575cc90,sha256:8983fb506fa9ecc6f0c4537d4a2e10a3ae006b25598805031c9bb65a0245b342,130.39MB
bookinfo,examples-bookinfo-reviews-v1,4aa952ae,sha256:8983fb506fa9ecc6f0c4537d4a2e10a3ae006b25598805031c9bb65a0245b342,130.39MB
bookinfo,examples-bookinfo-details-v2,b2efa1b5,sha256:42017fcdd47d4f3a8ea04697016869a3c5124fb80e293f4a662be211243a34fa,82.24MB
bookinfo,examples-bookinfo-details-v2,5e3f9324,sha256:42017fcdd47d4f3a8ea04697016869a3c5124fb80e293f4a662be211243a34fa,82.24MB
bookinfo,examples-bookinfo-details-v2,5d41f755,sha256:42017fcdd47d4f3a8ea04697016869a3c5124fb80e293f4a662be211243a34fa,82.24MB
bookinfo,examples-bookinfo-details-v2,b4c1290a,sha256:42017fcdd47d4f3a8ea04697016869a3c5124fb80e293f4a662be211243a34fa,82.24MB
bookinfo,examples-bookinfo-details-v2,ac3a2e6d,sha256:42017fcdd47d4f3a8ea04697016869a3c5124fb80e293f4a662be211243a34fa,82.24MB
bookinfo,examples-bookinfo-details-v2,b575cc90,sha256:17602f36a8dc64cfcd06514343c785535b97c95db92690de2499ee584306eaa9,82.06MB
bookinfo,examples-bookinfo-details-v2,4aa952ae,sha256:17602f36a8dc64cfcd06514343c785535b97c95db92690de2499ee584306eaa9,82.06MB
bookinfo,examples-bookinfo-details-v1,b2efa1b5,sha256:9ab57369ed7a740e4f7366ff6b53423d1e78d5ca26114557a30ca43979b84f0c,82.24MB
bookinfo,examples-bookinfo-details-v1,5e3f9324,sha256:9ab57369ed7a740e4f7366ff6b53423d1e78d5ca26114557a30ca43979b84f0c,82.24MB
bookinfo,examples-bookinfo-details-v1,5d41f755,sha256:9ab57369ed7a740e4f7366ff6b53423d1e78d5ca26114557a30ca43979b84f0c,82.24MB
bookinfo,examples-bookinfo-details-v1,b4c1290a,sha256:9ab57369ed7a740e4f7366ff6b53423d1e78d5ca26114557a30ca43979b84f0c,82.24MB
bookinfo,examples-bookinfo-details-v1,ac3a2e6d,sha256:9ab57369ed7a740e4f7366ff6b53423d1e78d5ca26114557a30ca43979b84f0c,82.24MB
bookinfo,examples-bookinfo-details-v1,b575cc90,sha256:345917ac19ba6ab2b71e2a7c87f66b0fcc1954811eee82c8ee0ef5e8cea698a5,82.06MB
bookinfo,examples-bookinfo-details-v1,4aa952ae,sha256:345917ac19ba6ab2b71e2a7c87f66b0fcc1954811eee82c8ee0ef5e8cea698a5,82.06MB
bookinfo,examples-bookinfo-productpage-v1,b2efa1b5,sha256:c675e9ecd2b3dffd76a15f39de7a0f190ac3f4ba2a383dc122879de0a606bcda,55.67MB
bookinfo,examples-bookinfo-productpage-v1,5e3f9324,sha256:c675e9ecd2b3dffd76a15f39de7a0f190ac3f4ba2a383dc122879de0a606bcda,55.67MB
bookinfo,examples-bookinfo-productpage-v1,5d41f755,sha256:c675e9ecd2b3dffd76a15f39de7a0f190ac3f4ba2a383dc122879de0a606bcda,55.67MB
bookinfo,examples-bookinfo-productpage-v1,b4c1290a,sha256:c675e9ecd2b3dffd76a15f39de7a0f190ac3f4ba2a383dc122879de0a606bcda,55.67MB
bookinfo,examples-bookinfo-productpage-v1,ac3a2e6d,sha256:c675e9ecd2b3dffd76a15f39de7a0f190ac3f4ba2a383dc122879de0a606bcda,55.67MB
bookinfo,examples-bookinfo-productpage-v1,b575cc90,sha256:dd8e235b505e7c8a8673f27a47a170b454a74974c7f650ed5b93f2e6bfa18be2,55.66MB
bookinfo,examples-bookinfo-productpage-v1,4aa952ae,sha256:dd8e235b505e7c8a8673f27a47a170b454a74974c7f650ed5b93f2e6bfa18be2,55.66MB
calico,kube-controllers,v3.28.0,sha256:206926f6f12f01eab89dd5f8f1e2b33b7b8f2174a85e7dab69cd9008d6062f0f,33.33MB
calico,kube-controllers,v3.26.3,sha256:bf1abf0635e6dbd26a3d50c0e45861575d0b506e5879b4b04569b059bb10d81e,31.27MB
calico,node,v3.28.0,sha256:3c0e24adecc39e89780e807400def972deb0ec9de9fbbbaceade072a8c6ae94f,109.90MB
calico,node,v3.26.3,sha256:fabf8d53f3f39e6060ffbd668a6df3055931fcc0d5f12a8d2f67fefb4ff7cca0,84.18MB
calico,cni,v3.28.0,sha256:7a3a5cf6c79243ba2de9eef8cb20fac7c46ef75b858956b9884b0ce87b9a354d,90.16MB
